id;JAVA;Genie Logiciel;Calcul Distribue;Finance;IA;Theorie Decision;Graphes;Programmation Lineaire;Allemand;LV2 Espagnol;Anglais;Communication;Marketing;Architecture;C++;Compilation
58;1;1;1;1;1;0;0;0;0;1;1;3;1;1;0;0;
59;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;
60;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;
61;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;
62;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
63;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;
64;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;
65;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
66;1;1;1;1;1;0;0;0;0;1;1;3;0;1;0;1;
67;1;1;1;0;1;0;0;0;0;1;1;1;0;1;1;0;
68;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;0;
69;1;1;1;1;1;0;0;0;0;1;3;1;1;0;1;0;
70;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
71;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;
72;1;1;1;1;1;1;0;0;?;0;1;1;1;0;0;0;
73;1;1;1;1;1;0;0;0;0;1;1;1;1;0;1;0;
74;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
75;1;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;
76;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;
77;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;
78;1;1;1;1;1;0;1;0;0;1;1;3;0;0;1;1;
79;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
80;0;0;1;0;1;1;1;1;0;1;1;3;0;0;1;0;
81;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;
82;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
83;1;1;1;1;1;0;0;0;0;1;1;3;1;0;1;0;
84;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
85;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
86;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;
87;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;
88;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;
89;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;1;
90;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;
91;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;
92;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;
93;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;
